"","recall","pcc","value","group"
"104",0.41,0.717948717948718,"mayer","hESC_C"
"105",0.41,0.717948717948718,"mayer","hESC_C"
"106",0.41,0.72258064516129,"mayer","hESC_C"
"107",0.41,0.720779220779221,"mayer","hESC_C"
"108",0.4,0.723684210526316,"mayer","hESC_C"
"109",0.4,0.72,"mayer","hESC_C"
"110",0.4,0.718120805369127,"mayer","hESC_C"
"111",0.4,0.722972972972973,"mayer","hESC_C"
"112",0.4,0.722972972972973,"mayer","hESC_C"
"113",0.4,0.726027397260274,"mayer","hESC_C"
"114",0.4,0.72027972027972,"mayer","hESC_C"
"115",0.4,0.730496453900709,"mayer","hESC_C"
"116",0.38,0.737226277372263,"mayer","hESC_C"
"117",0.38,0.748148148148148,"mayer","hESC_C"
"118",0.38,0.75187969924812,"mayer","hESC_C"
"119",0.38,0.751937984496124,"mayer","hESC_C"
"120",0.38,0.7578125,"mayer","hESC_C"
"121",0.38,0.76,"mayer","hESC_C"
"122",0.37,0.760330578512397,"mayer","hESC_C"
"123",0.36,0.767241379310345,"mayer","hESC_C"
"124",0.34,0.769911504424779,"mayer","hESC_C"
"125",0.34,0.765765765765766,"mayer","hESC_C"
"126",0.34,0.769230769230769,"mayer","hESC_C"
"127",0.34,0.776699029126214,"mayer","hESC_C"
"128",0.34,0.777777777777778,"mayer","hESC_C"
"129",0.34,0.776595744680851,"mayer","hESC_C"
"130",0.33,0.775280898876405,"mayer","hESC_C"
"131",0.33,0.776470588235294,"mayer","hESC_C"
"132",0.33,0.790123456790123,"mayer","hESC_C"
"133",0.32,0.792207792207792,"mayer","hESC_C"
"134",0.31,0.791666666666667,"mayer","hESC_C"
"135",0.31,0.803030303030303,"mayer","hESC_C"
"136",0.31,0.793103448275862,"mayer","hESC_C"
"137",0.29,0.792452830188679,"mayer","hESC_C"
"138",0.27,0.760869565217391,"mayer","hESC_C"
"139",0.23,0.731707317073171,"mayer","hESC_C"
"140",0.21,0.743589743589744,"mayer","hESC_C"
"141",0.18,0.72972972972973,"mayer","hESC_C"
"142",0.18,0.72972972972973,"mayer","hESC_C"
"143",0.18,0.764705882352941,"mayer","hESC_C"
"144",0.18,0.766666666666667,"mayer","hESC_C"
"145",0.18,0.75,"mayer","hESC_C"
"146",0.18,0.769230769230769,"mayer","hESC_C"
"147",0.18,0.76,"mayer","hESC_C"
"148",0.17,0.727272727272727,"mayer","hESC_C"
"149",0.17,0.736842105263158,"mayer","hESC_C"
"150",0.15,0.666666666666667,"mayer","hESC_C"
"151",0.15,0.75,"mayer","hESC_C"
"201",0,1,"mayer","hESC_C"
